"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Fist height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,"Reach height, sitting",Arm length,Breadth over the elbows,Shoulder breadth (bi-deltoid),Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Foot length,Foot breadth,Hand length,Hand width (without thumb),Forefinger breadth,Hand thickness,Length pointing finger,Body mass,Crotch height,Calf circumference,Thigh circumference,Foot circumference
2050.0,1740.0,1623.0,1110.0,799.0,218.0,314.0,432.0,827.0,944.0,1254.0,771.0,530.0,468.0,451.0,468.0,347.0,335.0,484.0,635.0,1024.0,567.0,359.0,1179.0,1004.0,1258.0,250.0,98.0,184.0,83.0,16.0,28.0,69.0,109.2,765.0,500.0,773.0,337.0
2305.0,1873.0,1776.0,1211.0,792.0,172.0,233.0,486.0,798.0,895.0,1327.0,798.0,531.0,510.0,401.0,445.0,309.0,379.0,564.0,698.0,1152.0,574.0,405.0,1103.0,1065.0,1208.0,275.0,104.0,198.0,91.0,16.0,31.0,78.0,105.0,834.0,409.0,695.0,365.0
2011.0,1725.0,1584.0,1077.0,783.0,182.0,290.0,427.0,797.0,938.0,1224.0,736.0,466.0,432.0,408.0,452.0,260.0,328.0,501.0,631.0,1064.0,583.0,340.0,989.0,856.0,1175.0,250.0,100.0,177.0,80.0,16.0,27.0,71.0,81.3,800.0,435.0,693.0,328.0
2002.0,1694.0,1570.0,1064.0,794.0,180.0,276.0,438.0,782.0,906.0,1214.0,726.0,432.0,405.0,383.0,435.0,265.0,331.0,515.0,624.0,1072.0,574.0,348.0,960.0,825.0,1119.0,247.0,90.0,175.0,76.0,14.0,21.0,68.0,77.8,778.0,398.0,675.0,314.0
2236.0,1840.0,1733.0,1163.0,821.0,136.0,239.0,522.0,809.0,916.0,1312.0,733.0,461.0,445.0,345.0,361.0,224.0,364.0,541.0,678.0,1199.0,589.0,366.0,972.0,811.0,1000.0,272.0,99.0,189.0,83.0,17.0,27.0,75.0,78.7,854.0,376.0,673.0,348.0
1917.0,1652.0,1532.0,1025.0,745.0,170.0,258.0,419.0,765.0,885.0,1150.0,721.0,458.0,452.0,387.0,420.0,272.0,325.0,511.0,610.0,1006.0,552.0,339.0,1017.0,880.0,1087.0,237.0,98.0,174.0,74.0,14.0,25.0,66.0,76.5,765.0,409.0,668.0,305.0
2117.0,1809.0,1685.0,1158.0,809.0,165.0,308.0,456.0,835.0,959.0,1267.0,698.0,474.0,481.0,362.0,400.0,257.0,359.0,515.0,630.0,1118.0,585.0,363.0,987.0,814.0,1048.0,249.0,92.0,180.0,82.0,17.0,25.0,66.0,84.5,802.0,417.0,659.0,320.0
2120.0,1825.0,1704.0,1164.0,851.0,173.0,326.0,485.0,866.0,987.0,1282.0,731.0,432.0,429.0,382.0,407.0,246.0,328.0,526.0,641.0,1126.0,561.0,359.0,989.0,806.0,1103.0,264.0,103.0,183.0,83.0,15.0,28.0,74.0,82.5,806.0,402.0,657.0,333.0
2147.0,1767.0,1644.0,1081.0,779.0,171.0,250.0,471.0,813.0,936.0,1316.0,766.0,487.0,478.0,388.0,444.0,247.0,354.0,519.0,628.0,1076.0,600.0,356.0,1048.0,811.0,1140.0,251.0,94.0,187.0,85.0,16.0,26.0,74.0,81.6,814.0,392.0,657.0,322.0
2211.0,1864.0,1729.0,1143.0,856.0,159.0,236.0,515.0,822.0,957.0,1304.0,805.0,481.0,494.0,357.0,404.0,260.0,464.0,549.0,676.0,1168.0,576.0,365.0,992.0,888.0,1063.0,282.0,112.0,194.0,90.0,15.0,28.0,79.0,87.3,869.0,413.0,654.0,360.0
2362.0,1941.0,1828.0,1203.0,882.0,179.0,276.0,504.0,901.0,1014.0,1435.0,883.0,534.0,501.0,411.0,434.0,263.0,392.0,,,1183.0,577.0,374.0,1015.0,921.0,1182.0,284.0,105.0,193.0,87.0,18.0,28.0,79.0,103.2,909.0,416.0,651.0,353.0
2178.0,1835.0,1702.0,1126.0,814.0,158.0,267.0,482.0,843.0,976.0,1319.0,797.0,455.0,488.0,373.0,412.0,253.0,378.0,500.0,626.0,1084.0,594.0,398.0,950.0,850.0,1029.0,276.0,109.0,195.0,90.0,17.0,29.0,77.0,87.1,803.0,405.0,649.0,340.0
2162.0,1839.0,1721.0,1144.0,834.0,169.0,244.0,512.0,821.0,939.0,1262.0,754.0,446.0,447.0,393.0,434.0,300.0,368.0,555.0,685.0,1169.0,588.0,348.0,999.0,807.0,1137.0,249.0,87.0,182.0,76.0,16.0,27.0,73.0,89.0,870.0,406.0,647.0,333.0
1982.0,1679.0,1566.0,1069.0,772.0,173.0,281.0,456.0,778.0,891.0,1194.0,696.0,409.0,461.0,371.0,421.0,266.0,323.0,506.0,609.0,1041.0,547.0,337.0,962.0,804.0,1075.0,238.0,94.0,171.0,79.0,15.0,21.0,65.0,72.5,780.0,396.0,645.0,324.0
2044.0,1674.0,1584.0,1035.0,730.0,165.0,229.0,432.0,778.0,868.0,1238.0,715.0,430.0,452.0,394.0,408.0,245.0,352.0,530.0,634.0,1043.0,576.0,331.0,916.0,806.0,1064.0,235.0,90.0,182.0,80.0,14.0,26.0,74.0,69.8,772.0,397.0,637.0,308.0
1967.0,1629.0,1541.0,1039.0,757.0,168.0,254.0,415.0,756.0,844.0,1182.0,668.0,414.0,448.0,373.0,414.0,258.0,330.0,502.0,609.0,1003.0,548.0,319.0,925.0,776.0,1070.0,239.0,87.0,170.0,71.0,14.0,24.0,60.0,70.0,,392.0,635.0,307.0
2170.0,1781.0,1679.0,1097.0,816.0,160.0,263.0,472.0,845.0,947.0,1336.0,767.0,456.0,451.0,376.0,402.0,259.0,373.0,500.0,619.0,1071.0,591.0,388.0,918.0,947.0,1063.0,276.0,109.0,195.0,92.0,18.0,30.0,78.0,85.3,781.0,392.0,632.0,356.0
2044.0,1698.0,1578.0,1049.0,768.0,161.0,265.0,434.0,794.0,914.0,1260.0,729.0,436.0,429.0,377.0,428.0,262.0,337.0,503.0,616.0,1038.0,550.0,323.0,962.0,736.0,1028.0,253.0,96.0,175.0,80.0,15.0,26.0,72.0,71.7,764.0,375.0,631.0,333.0
2036.0,1716.0,1603.0,1074.0,769.0,171.0,254.0,457.0,783.0,896.0,1216.0,726.0,451.0,454.0,395.0,427.0,260.0,346.0,532.0,638.0,1075.0,569.0,350.0,977.0,805.0,1118.0,266.0,103.0,184.0,78.0,15.0,24.0,78.0,76.4,771.0,374.0,628.0,321.0
2181.0,1806.0,1704.0,1150.0,778.0,176.0,319.0,490.0,873.0,975.0,1350.0,824.0,492.0,501.0,385.0,412.0,248.0,357.0,534.0,647.0,1117.0,590.0,396.0,1030.0,927.0,1092.0,271.0,103.0,193.0,86.0,18.0,31.0,75.0,92.9,810.0,375.0,625.0,346.0
2088.0,1782.0,1677.0,1147.0,838.0,162.0,315.0,459.0,845.0,950.0,1256.0,735.0,479.0,466.0,403.0,447.0,282.0,348.0,514.0,625.0,1058.0,572.0,347.0,993.0,853.0,1117.0,266.0,99.0,192.0,83.0,15.0,31.0,71.0,85.9,792.0,395.0,624.0,354.0
1956.0,1695.0,1583.0,1074.0,747.0,174.0,279.0,469.0,788.0,900.0,1161.0,725.0,470.0,433.0,406.0,457.0,237.0,333.0,512.0,629.0,1065.0,565.0,354.0,990.0,859.0,1150.0,259.0,92.0,176.0,75.0,15.0,25.0,72.0,81.0,798.0,395.0,621.0,331.0
1997.0,1714.0,1609.0,1061.0,752.0,180.0,273.0,464.0,821.0,926.0,1209.0,748.0,524.0,481.0,375.0,397.0,270.0,349.0,503.0,614.0,1033.0,600.0,416.0,1104.0,1044.0,1109.0,265.0,101.0,188.0,90.0,17.0,35.0,73.0,91.5,763.0,422.0,620.0,329.0
2125.0,1762.0,1679.0,1089.0,770.0,169.0,274.0,467.0,864.0,947.0,1310.0,728.0,474.0,481.0,364.0,400.0,260.0,365.0,509.0,629.0,1082.0,588.0,381.0,1017.0,882.0,1086.0,268.0,104.0,189.0,86.0,17.0,30.0,76.0,89.5,775.0,393.0,618.0,368.0
2231.0,1918.0,1796.0,1238.0,841.0,156.0,303.0,501.0,861.0,983.0,1296.0,785.0,528.0,501.0,376.0,395.0,255.0,368.0,547.0,691.0,1192.0,590.0,390.0,1032.0,920.0,1078.0,271.0,99.0,198.0,90.0,17.0,30.0,80.0,91.5,875.0,376.0,616.0,358.0
1992.0,1716.0,1585.0,1084.0,755.0,172.0,263.0,461.0,764.0,895.0,1171.0,725.0,423.0,411.0,356.0,398.0,284.0,351.0,516.0,624.0,1055.0,561.0,343.0,921.0,747.0,1053.0,251.0,100.0,171.0,81.0,15.0,29.0,66.0,77.4,756.0,388.0,615.0,334.0
1984.0,1651.0,1535.0,1001.0,728.0,170.0,232.0,422.0,766.0,882.0,1215.0,717.0,440.0,450.0,374.0,405.0,263.0,323.0,498.0,605.0,1016.0,567.0,332.0,995.0,818.0,1041.0,228.0,89.0,171.0,79.0,15.0,27.0,70.0,69.9,743.0,380.0,615.0,310.0
2022.0,1706.0,1606.0,1076.0,750.0,160.0,259.0,459.0,789.0,889.0,1205.0,713.0,477.0,444.0,398.0,440.0,278.0,352.0,510.0,620.0,1043.0,567.0,339.0,998.0,809.0,1090.0,250.0,91.0,179.0,80.0,16.0,27.0,67.0,76.2,765.0,385.0,615.0,317.0
1920.0,1613.0,1503.0,996.0,724.0,154.0,241.0,415.0,748.0,858.0,1165.0,726.0,425.0,453.0,375.0,396.0,266.0,318.0,492.0,589.0,1003.0,543.0,320.0,956.0,765.0,1052.0,248.0,95.0,171.0,82.0,17.0,28.0,70.0,69.7,717.0,400.0,615.0,334.0
2150.0,1762.0,1645.0,1099.0,821.0,155.0,273.0,454.0,819.0,936.0,1324.0,735.0,452.0,477.0,371.0,392.0,241.0,349.0,503.0,624.0,1047.0,560.0,363.0,944.0,798.0,1046.0,254.0,105.0,183.0,83.0,17.0,29.0,72.0,79.2,790.0,390.0,612.0,336.0
2095.0,1768.0,1671.0,1090.0,791.0,151.0,278.0,456.0,859.0,956.0,1283.0,727.0,468.0,471.0,355.0,366.0,266.0,352.0,490.0,604.0,1056.0,581.0,396.0,1006.0,815.0,998.0,258.0,104.0,198.0,87.0,16.0,32.0,75.0,80.2,769.0,384.0,612.0,347.0
2262.0,1907.0,1802.0,1200.0,886.0,156.0,309.0,517.0,911.0,1016.0,1371.0,827.0,473.0,484.0,374.0,383.0,243.0,374.0,517.0,644.0,1146.0,579.0,373.0,992.0,844.0,1037.0,268.0,104.0,195.0,91.0,17.0,25.0,76.0,86.6,877.0,382.0,610.0,366.0
2101.0,1768.0,1655.0,1102.0,776.0,153.0,250.0,467.0,803.0,916.0,1249.0,730.0,460.0,465.0,348.0,376.0,229.0,346.0,486.0,606.0,,591.0,377.0,977.0,817.0,1010.0,256.0,100.0,185.0,86.0,15.0,25.0,72.0,77.4,784.0,408.0,610.0,342.0
2404.0,1989.0,1882.0,1233.0,852.0,161.0,234.0,574.0,883.0,990.0,1405.0,908.0,516.0,501.0,385.0,419.0,308.0,394.0,562.0,710.0,1216.0,575.0,405.0,1135.0,1055.0,1133.0,283.0,107.0,216.0,94.0,20.0,29.0,84.0,112.1,976.0,373.0,608.0,389.0
2077.0,1723.0,1622.0,1026.0,767.0,158.0,187.0,469.0,783.0,884.0,1238.0,747.0,410.0,431.0,383.0,415.0,274.0,437.0,519.0,627.0,1097.0,566.0,315.0,940.0,746.0,1020.0,244.0,92.0,177.0,76.0,15.0,22.0,68.0,71.9,810.0,399.0,608.0,325.0
2199.0,1865.0,1762.0,1151.0,842.0,169.0,288.0,506.0,899.0,1002.0,1336.0,799.0,511.0,474.0,381.0,392.0,267.0,346.0,511.0,640.0,1095.0,606.0,390.0,1034.0,882.0,1064.0,270.0,100.0,182.0,80.0,16.0,31.0,67.0,91.5,863.0,396.0,607.0,346.0
2227.0,1866.0,1768.0,1161.0,821.0,153.0,252.0,522.0,859.0,957.0,1318.0,777.0,500.0,476.0,372.0,386.0,252.0,360.0,527.0,653.0,1147.0,604.0,378.0,989.0,824.0,1046.0,270.0,104.0,195.0,89.0,17.0,30.0,75.0,85.7,901.0,403.0,607.0,358.0
2015.0,1692.0,1607.0,1048.0,755.0,158.0,273.0,458.0,832.0,917.0,1240.0,729.0,486.0,487.0,382.0,422.0,286.0,323.0,476.0,598.0,1055.0,563.0,385.0,1165.0,886.0,1123.0,247.0,91.0,181.0,79.0,16.0,28.0,74.0,90.3,786.0,385.0,605.0,321.0
2053.0,1691.0,1554.0,1069.0,744.0,157.0,266.0,450.0,751.0,888.0,1250.0,724.0,460.0,452.0,384.0,388.0,264.0,356.0,513.0,626.0,1064.0,587.0,337.0,1003.0,789.0,1042.0,271.0,94.0,195.0,77.0,16.0,26.0,76.0,73.8,788.0,373.0,604.0,330.0
1989.0,1683.0,1581.0,1063.0,750.0,154.0,231.0,467.0,749.0,851.0,1157.0,706.0,407.0,411.0,371.0,392.0,235.0,315.0,501.0,605.0,1046.0,534.0,310.0,909.0,713.0,1020.0,237.0,89.0,176.0,77.0,14.0,26.0,66.0,62.1,815.0,357.0,603.0,312.0
2157.0,1783.0,1688.0,1120.0,801.0,154.0,266.0,452.0,834.0,929.0,1303.0,743.0,456.0,472.0,346.0,367.0,245.0,355.0,516.0,640.0,1089.0,598.0,373.0,945.0,826.0,1028.0,262.0,97.0,189.0,83.0,17.0,29.0,69.0,77.1,812.0,376.0,600.0,331.0
2009.0,1707.0,1577.0,1071.0,766.0,152.0,273.0,444.0,779.0,909.0,1211.0,688.0,424.0,392.0,377.0,413.0,244.0,320.0,495.0,612.0,1045.0,557.0,323.0,898.0,709.0,1024.0,244.0,92.0,172.0,76.0,14.0,26.0,71.0,68.4,797.0,388.0,599.0,321.0
1967.0,1642.0,1540.0,1002.0,751.0,154.0,219.0,432.0,757.0,859.0,1184.0,695.0,396.0,411.0,360.0,375.0,266.0,311.0,492.0,603.0,1019.0,569.0,327.0,904.0,695.0,1005.0,228.0,90.0,169.0,77.0,17.0,25.0,66.0,62.4,726.0,359.0,598.0,293.0
2143.0,1786.0,1676.0,1124.0,821.0,149.0,272.0,462.0,824.0,934.0,1291.0,725.0,427.0,446.0,392.0,431.0,267.0,354.0,526.0,636.0,1101.0,576.0,345.0,961.0,771.0,1082.0,256.0,105.0,193.0,88.0,17.0,26.0,77.0,79.3,807.0,407.0,598.0,333.0
2018.0,1704.0,1598.0,1058.0,735.0,181.0,254.0,454.0,794.0,900.0,1214.0,786.0,478.0,476.0,357.0,377.0,235.0,371.0,499.0,606.0,1034.0,579.0,389.0,983.0,891.0,1050.0,253.0,95.0,195.0,83.0,16.0,25.0,71.0,82.8,773.0,396.0,596.0,325.0
2016.0,1667.0,1554.0,1045.0,753.0,160.0,227.0,462.0,736.0,849.0,1198.0,722.0,413.0,392.0,369.0,388.0,240.0,310.0,496.0,622.0,1059.0,558.0,299.0,926.0,736.0,1010.0,236.0,90.0,169.0,74.0,15.0,23.0,73.0,63.4,789.0,370.0,596.0,317.0
2336.0,1911.0,1817.0,1223.0,858.0,137.0,253.0,544.0,847.0,941.0,1366.0,769.0,446.0,454.0,372.0,402.0,262.0,387.0,559.0,690.0,1190.0,586.0,374.0,858.0,882.0,1049.0,283.0,107.0,188.0,83.0,17.0,32.0,73.0,87.6,911.0,396.0,596.0,353.0
