Stature,Arm length,Shoulder breadth (bi-deltoid),Head breadth,Head depth,Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Body mass,Crotch height,Thigh circumference,Face length,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Bigonial breadth,Bitragion breadth,Nasal root protrusion,Relative Nasal Tip Protrusion
1723.0,603.0,406.0,157.0,184.0,560.0,444.0,904.0,724.0,1000.0,60.9,799.0,565.0,107.0,24.38,47.537,39.21,17.426,35.319,108.534,147.436,15.378,36.657
1659.0,573.0,460.0,155.0,188.0,549.0,452.0,1092.0,1014.0,1135.0,85.0,739.0,654.0,119.0,23.649,54.33,46.992,20.509,35.725,112.778,156.471,14.9,37.749
1608.0,568.0,432.0,149.0,177.0,533.0,438.0,898.0,755.0,985.0,61.3,808.0,579.0,107.0,23.617,49.394,42.916,20.322,33.812,118.826,138.017,14.563,41.143
1776.0,625.0,388.0,141.0,177.0,513.0,416.0,925.0,901.0,1052.0,66.0,865.0,596.0,108.0,25.49,46.992,37.771,18.431,33.392,116.531,140.21,12.022,39.222
1850.0,672.0,535.0,152.0,213.0,608.0,482.0,1099.0,867.0,1090.0,98.3,890.0,660.0,119.0,29.538,51.853,42.615,21.093,40.972,135.585,161.778,15.463,40.678
1840.0,645.0,473.0,154.0,201.0,587.0,492.0,983.0,886.0,966.0,82.7,856.0,571.0,137.0,25.145,61.254,55.387,24.5,37.64,124.851,162.29,15.353,39.998
1750.0,611.0,483.0,160.0,194.0,582.0,451.0,1080.0,906.0,1122.0,88.5,827.0,681.0,121.0,29.452,51.777,41.366,19.16,37.056,142.309,155.594,11.901,37.005
1729.0,608.0,462.0,148.0,183.0,546.0,500.0,1153.0,1036.0,1056.0,98.7,797.0,619.0,124.0,26.016,54.129,49.021,20.49,41.481,146.979,151.936,12.897,37.854
1615.0,564.0,420.0,145.0,186.0,541.0,426.0,937.0,740.0,1090.0,63.9,757.0,630.0,108.0,26.796,47.909,39.417,17.823,34.572,116.114,144.274,13.247,37.203
1799.0,618.0,461.0,147.0,189.0,562.0,575.0,1021.0,930.0,1004.0,84.0,831.0,610.0,127.0,26.0,49.397,41.639,19.034,34.389,131.687,152.879,16.032,38.532
1745.0,620.0,426.0,142.0,195.0,544.0,435.0,925.0,722.0,958.0,61.6,864.0,538.0,117.0,29.166,46.609,39.817,20.626,36.804,115.839,143.278,14.587,44.253
1556.0,556.0,419.0,147.0,174.0,531.0,490.0,1172.0,1030.0,1065.0,80.1,741.0,602.0,102.0,25.975,48.218,41.697,17.914,35.991,117.681,143.074,10.886,37.152
1771.0,599.0,471.0,155.0,192.0,569.0,514.0,1218.0,1192.0,1089.0,107.2,779.0,679.0,129.0,26.246,52.159,45.018,21.631,40.748,141.571,153.453,17.613,41.471
1686.0,587.0,418.0,149.0,193.0,563.0,400.0,900.0,740.0,962.0,63.0,789.0,574.0,119.0,24.703,51.502,41.098,19.202,33.492,103.087,140.119,13.453,37.283
1701.0,611.0,502.0,155.0,186.0,568.0,468.0,1331.0,1226.0,1063.0,101.6,801.0,645.0,108.0,29.269,52.607,47.952,20.691,42.088,131.684,156.772,13.261,39.331
1787.0,625.0,507.0,145.0,198.0,572.0,487.0,1179.0,1064.0,1085.0,102.0,795.0,618.0,123.0,27.456,53.913,47.852,22.185,38.314,143.252,154.931,15.255,41.15
