Stature,Head height,Head breadth,Head depth,Head circumference,Body mass,Face length,Face width,Face length long,Lower face length,Intercanthal width,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Width of mouth,Height of chin,Face length short,Sellion promentale length
1040.0,203.0,139.0,180.0,514.0,17.0,104.98,108.0,93.04,60.41,31.78,20.54,32.63,22.48,13.303,32.8,38.37,32.18,60.86,76.29
937.0,205.0,130.0,186.0,533.0,15.1,95.32,113.0,82.98,52.58,32.94,21.41,30.4,21.18,11.456,28.4,40.99,25.44,57.54,69.26
880.0,177.0,122.0,170.0,495.0,13.2,101.34,100.0,83.76,53.52,27.99,18.55,30.24,20.45,11.313,24.13,34.19,22.84,60.92,73.8
678.0,150.0,118.0,147.0,430.0,7.03,85.63,97.0,71.98,46.88,26.35,18.45,25.1,16.01,10.548,23.94,28.68,19.88,52.1,62.3
768.0,167.0,125.0,160.0,455.0,10.3,95.19,105.0,80.17,53.79,28.25,19.2,26.38,17.42,11.182,24.65,37.77,19.39,60.78,70.62
808.0,172.0,125.0,147.0,450.0,9.62,98.01,100.0,76.01,47.97,27.01,14.46,28.04,20.04,10.346,26.32,33.66,20.89,55.12,67.05
810.0,148.0,132.0,164.0,482.0,10.75,89.62,107.0,79.56,50.28,30.57,15.44,29.28,20.17,10.778,25.12,33.68,22.54,57.02,65.97
964.0,178.0,141.0,168.0,473.0,13.9,96.81,109.0,87.04,54.5,24.13,17.16,32.54,24.45,10.607,29.21,32.81,21.96,65.08,79.87
980.0,137.0,134.0,132.0,500.0,14.8,103.05,109.0,86.84,56.53,28.7,18.8,30.31,18.67,13.347,30.0,39.18,23.25,63.59,76.68
760.0,170.0,122.0,147.0,436.0,9.7,91.52,103.0,75.66,50.8,25.96,17.76,24.86,15.03,11.506,25.34,28.06,18.59,57.07,67.94
905.0,161.0,136.0,173.0,483.0,12.5,98.53,105.0,80.52,53.97,27.86,14.76,26.55,18.12,10.411,24.51,29.7,22.82,57.7,70.71
1165.0,187.0,146.0,183.0,528.0,22.2,100.49,114.0,89.49,56.33,30.71,20.32,33.16,21.63,15.315,30.25,41.38,26.12,63.37,72.33
840.0,177.0,125.0,160.0,470.0,11.0,94.38,105.0,79.13,49.71,27.92,15.84,29.42,20.5,10.667,26.65,36.06,18.29,60.84,71.1
865.0,177.0,135.0,160.0,470.0,12.8,99.47,113.0,82.94,53.79,28.15,20.08,29.15,17.89,12.454,28.57,34.04,23.39,59.55,74.28
