"Reach height, standing",Stature,"Eye height, standing",Shoulder height,"Fist height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,"Reach height, sitting",Breadth over the elbows,Shoulder breadth (bi-deltoid),Hip breadth,Elbow-finger tip length,Abdominal depth,Buttock-popliteal depth,Hand length,Hand width (with thumb),Body mass,"Cervical (c7) height, sitting","Cervical (c7)-backplane depth, sitting","Sacrum-backplane depth, sitting",Heel height,"Palm height, standing"
1839.0,1745.0,1600.0,650.0,836.0,170.0,,465.0,804.0,444.0,1090.0,566.0,484.0,430.0,525.0,382.0,532.0,198.0,89.0,103.0,687.0,54.0,36.0,21.0,834.0
,,,536.0,778.0,109.0,145.0,497.0,670.0,462.0,840.0,430.0,363.0,343.0,484.0,276.0,538.0,191.0,85.0,52.0,561.0,91.0,21.0,35.0,
,1598.0,1510.0,557.0,748.0,110.0,148.0,526.0,689.0,501.0,,437.0,412.0,340.0,480.0,310.0,544.0,188.0,90.0,59.5,609.0,116.0,86.0,25.0,
1787.0,1638.0,1519.0,558.0,714.0,102.0,152.0,501.0,659.0,481.0,980.0,449.0,406.0,364.0,506.0,298.0,502.0,191.0,85.0,62.4,597.0,121.0,26.0,20.0,742.0
1678.0,1501.0,1405.0,497.0,695.0,110.0,157.0,453.0,639.0,423.0,915.0,488.0,379.0,366.0,455.0,369.0,465.0,171.0,81.0,68.0,545.0,100.0,6.0,30.0,645.0
1706.0,1684.0,1568.0,526.0,787.0,110.0,159.0,507.0,675.0,477.0,,455.0,398.0,362.0,454.0,367.0,510.0,169.0,74.0,63.6,592.0,98.0,56.0,30.0,
1839.0,1667.0,1557.0,557.0,778.0,126.0,163.0,472.0,727.0,452.0,1005.0,416.0,376.0,336.0,493.0,259.0,455.0,179.0,75.0,52.8,571.0,96.0,71.0,20.0,
,,,582.0,,103.0,164.0,485.0,756.0,463.0,,348.0,483.0,430.0,464.0,263.0,477.0,186.0,85.0,65.8,627.0,75.0,1.0,22.0,
1589.0,1499.0,1392.0,509.0,627.0,118.0,165.0,452.0,659.0,417.0,,462.0,383.0,343.0,438.0,350.0,487.0,168.0,84.0,59.7,545.0,76.0,71.0,35.0,
1825.0,1623.0,1519.0,527.0,736.0,104.0,165.0,493.0,633.0,463.0,1050.0,459.0,407.0,317.0,497.0,277.0,559.0,192.0,91.0,54.5,566.0,98.0,34.0,30.0,723.0
,,,513.0,,114.0,168.0,472.0,654.0,447.0,,414.0,402.0,341.0,431.0,297.0,494.0,191.0,82.0,56.7,554.0,51.0,81.0,25.0,
1710.0,1649.0,1539.0,546.0,729.0,113.0,172.0,515.0,678.0,490.0,,492.0,427.0,392.0,477.0,385.0,516.0,172.0,77.0,77.0,597.0,91.0,51.0,25.0,
1873.0,1657.0,1550.0,578.0,728.0,105.0,173.0,454.0,699.0,424.0,,412.0,411.0,363.0,492.0,248.0,518.0,189.0,84.0,54.0,621.0,96.0,6.0,30.0,
,1821.0,,598.0,839.0,107.0,173.0,543.0,824.0,513.0,,462.0,417.0,356.0,535.0,281.0,551.0,208.0,80.0,66.6,652.0,84.0,26.0,30.0,
1504.0,1495.0,1392.0,519.0,683.0,118.0,174.0,478.0,582.0,448.0,,412.0,402.0,364.0,464.0,320.0,552.0,195.0,75.0,57.8,556.0,86.0,136.0,30.0,
,,,580.0,,92.0,175.0,493.0,681.0,463.0,,457.0,413.0,405.0,463.0,310.0,494.0,180.0,83.0,66.4,601.0,124.0,48.0,30.0,
,,,564.0,,122.0,175.0,513.0,696.0,483.0,,422.0,462.0,356.0,484.0,288.0,528.0,195.0,92.0,59.0,599.0,106.0,126.0,30.0,
,,,500.0,,97.0,178.0,458.0,638.0,428.0,,341.0,381.0,314.0,431.0,246.0,454.0,171.0,72.0,40.8,515.0,56.0,41.0,30.0,
1684.0,1535.0,1432.0,571.0,656.0,108.0,178.0,478.0,688.0,448.0,,445.0,392.0,363.0,464.0,308.0,504.0,178.0,82.0,56.0,608.0,114.0,54.0,30.0,
1631.0,1521.0,,536.0,668.0,109.0,179.0,475.0,704.0,445.0,1165.0,457.0,361.0,328.0,452.0,333.0,427.0,177.0,84.0,48.0,581.0,64.0,34.0,30.0,
1687.0,1561.0,1423.0,503.0,686.0,87.0,183.0,473.0,611.0,448.0,,405.0,364.0,322.0,434.0,288.0,461.0,174.0,68.0,41.1,514.0,161.0,46.0,25.0,
1513.0,1528.0,1360.0,564.0,774.0,99.0,183.0,446.0,674.0,406.0,700.0,427.0,400.0,354.0,445.0,319.0,477.0,168.0,85.0,55.0,603.0,90.0,7.0,40.0,
1718.0,1720.0,1592.0,585.0,790.0,128.0,184.0,513.0,770.0,485.0,985.0,491.0,443.0,391.0,477.0,278.0,498.0,170.0,86.0,68.8,632.0,86.0,19.0,28.0,785.0
1718.0,1653.0,1533.0,571.0,713.0,132.0,185.0,482.0,713.0,462.0,,487.0,438.0,389.0,448.0,321.0,487.0,188.0,92.0,74.6,611.0,44.0,31.0,20.0,
,,,520.0,,113.0,185.0,510.0,582.0,480.0,,421.0,377.0,335.0,454.0,334.0,523.0,182.0,79.0,56.5,533.0,134.0,44.0,30.0,
,,,580.0,,84.0,187.0,509.0,732.0,474.0,,453.0,414.0,357.0,475.0,312.0,444.0,177.0,75.0,58.7,623.0,95.0,46.0,35.0,
2004.0,1780.0,1656.0,582.0,838.0,121.0,190.0,546.0,763.0,516.0,1180.0,509.0,448.0,401.0,503.0,307.0,506.0,213.0,90.0,84.0,639.0,112.0,1.0,30.0,826.0
1824.0,1644.0,1555.0,562.0,773.0,113.0,190.0,509.0,689.0,459.0,1040.0,508.0,422.0,383.0,499.0,303.0,517.0,188.0,82.0,62.1,578.0,98.0,12.0,50.0,739.0
,,,605.0,,94.0,190.0,486.0,747.0,456.0,,517.0,480.0,399.0,474.0,337.0,523.0,192.0,77.0,76.4,669.0,91.0,26.0,30.0,
1875.0,1685.0,1575.0,557.0,757.0,118.0,191.0,499.0,761.0,469.0,985.0,474.0,384.0,378.0,503.0,279.0,507.0,176.0,76.0,65.5,,108.0,41.0,30.0,
1696.0,1635.0,1543.0,565.0,766.0,114.0,191.0,472.0,740.0,432.0,1000.0,467.0,427.0,346.0,445.0,323.0,509.0,175.0,82.0,67.6,613.0,80.0,32.0,40.0,735.0
1728.0,1620.0,1509.0,550.0,679.0,101.0,193.0,493.0,758.0,465.0,,458.0,420.0,365.0,478.0,321.0,443.0,188.0,86.0,63.0,624.0,60.0,36.0,28.0,
1775.0,1612.0,1491.0,572.0,747.0,123.0,193.0,427.0,729.0,392.0,1030.0,427.0,385.0,349.0,455.0,313.0,492.0,184.0,74.0,59.0,608.0,108.0,12.0,35.0,738.0
1698.0,1533.0,1428.0,507.0,688.0,108.0,193.0,439.0,679.0,407.0,1001.0,466.0,392.0,349.0,424.0,334.0,501.0,186.0,85.0,54.5,575.0,106.0,41.0,32.0,664.0
1754.0,1617.0,1448.0,586.0,711.0,108.0,193.0,505.0,618.0,480.0,,527.0,428.0,430.0,485.0,422.0,533.0,196.0,80.0,88.4,608.0,116.0,27.0,25.0,
,,,576.0,,121.0,193.0,519.0,753.0,489.0,,521.0,445.0,401.0,491.0,385.0,540.0,198.0,87.0,83.0,626.0,41.0,40.0,30.0,
1613.0,1477.0,1337.0,520.0,689.0,106.0,194.0,422.0,651.0,405.0,1022.0,428.0,372.0,349.0,414.0,290.0,440.0,162.0,76.0,56.6,571.0,105.0,20.0,17.0,715.0
1691.0,1643.0,1541.0,600.0,823.0,130.0,194.0,495.0,692.0,465.0,760.0,483.0,404.0,366.0,480.0,310.0,512.0,190.0,82.0,64.0,654.0,136.0,38.0,30.0,
1809.0,1721.0,1614.0,593.0,838.0,131.0,194.0,520.0,734.0,485.0,,519.0,448.0,400.0,474.0,352.0,575.0,187.0,88.0,80.0,629.0,66.0,46.0,35.0,
