Stature,"Eye height, standing",Shoulder height,"Elbow height, standing","Fist height, standing","Thigh clearance, sitting",Shoulder-elbow length,"Elbow height, sitting","Popliteal height, sitting","Shoulder height, sitting","Eye height, sitting",Sitting height,Reach depth,Arm length,Breadth over the elbows,Shoulder breadth (bi-deltoid),"Hip breadth, sitting",Abdominal depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting",Foot length,Foot breadth,Hand length,Hand width (without thumb),Thumb breadth,Forefinger breadth,Grip circumference,Ear length,Body mass,Maximum gripping force,Pushing force with 2 hands,Pulling force 1 hand,Torque with two hands,Rotation of head towards left,Rotation of head towards right,Rotation of head backwards,Rotation of head toward chest,Bending of head towards right shoulder,Bending of head towards left shoulder,Pronation,Supination,Extension hand,Flexion hand,Radial deviation,Ulnar deviation,Forefinger flexion,Step-up height
1728.0,1608.0,1420.0,1090.0,803.0,155.0,330.0,277.0,458.0,607.0,794.0,915.0,478.0,752.0,507.0,443.0,375.0,326.0,354.0,520.0,647.0,275.0,109.0,195.0,84.0,24.0,16.0,12.0,80.0,86.3,422.0,628.0,475.0,9.0,50.0,80.0,55.0,52.0,31.0,34.0,92.0,88.0,38.0,58.0,53.0,23.0,53.0,210.0
1712.0,1614.0,1398.0,1035.0,741.0,146.0,363.0,202.0,485.0,565.0,781.0,879.0,471.0,719.0,448.0,405.0,427.0,282.0,356.0,509.0,623.0,258.0,91.0,186.0,82.0,23.0,17.0,13.0,69.0,65.0,226.0,235.0,235.0,5.0,60.0,56.0,50.0,40.0,35.0,38.0,130.0,105.0,49.0,57.0,31.0,22.0,40.0,170.0
1657.0,1543.0,1367.0,1016.0,723.0,141.0,350.0,188.0,460.0,538.0,714.0,828.0,450.0,761.0,541.0,441.0,460.0,329.0,,529.0,641.0,252.0,91.0,178.0,83.0,21.0,17.0,11.0,69.0,79.3,245.0,314.0,324.0,5.0,46.0,56.0,52.0,20.0,25.0,34.0,109.0,83.0,58.0,45.0,39.0,18.0,38.0,210.0
1641.0,1543.0,1325.0,973.0,685.0,150.0,351.0,202.0,476.0,554.0,772.0,870.0,459.0,743.0,453.0,422.0,355.0,302.0,336.0,496.0,603.0,249.0,87.0,184.0,87.0,23.0,16.0,12.0,72.0,64.9,392.0,284.0,291.0,7.0,71.0,62.0,65.0,44.0,36.0,36.0,90.0,77.0,66.0,66.0,40.0,28.0,60.0,120.0
1773.0,1661.0,1474.0,1113.0,819.0,139.0,361.0,255.0,487.0,616.0,803.0,915.0,473.0,730.0,534.0,453.0,418.0,306.0,338.0,511.0,634.0,270.0,105.0,192.0,93.0,23.0,18.0,12.0,71.0,85.7,402.0,353.0,383.0,6.0,51.0,54.0,42.0,35.0,35.0,27.0,88.0,67.0,44.0,63.0,44.0,22.0,70.0,210.0
1634.0,1534.0,1331.0,1002.0,725.0,139.0,329.0,223.0,424.0,551.0,754.0,855.0,435.0,692.0,478.0,414.0,439.0,329.0,310.0,507.0,616.0,239.0,94.0,176.0,76.0,20.0,15.0,13.0,67.0,78.8,294.0,402.0,249.0,6.0,59.0,61.0,61.0,37.0,36.0,41.0,125.0,81.0,65.0,77.0,42.0,21.0,51.0,210.0
1621.0,1525.0,1338.0,993.0,703.0,119.0,345.0,213.0,456.0,558.0,745.0,841.0,449.0,707.0,393.0,382.0,377.0,295.0,327.0,502.0,625.0,255.0,91.0,183.0,80.0,21.0,17.0,12.0,72.0,55.9,226.0,147.0,107.0,3.0,52.0,51.0,48.0,12.0,37.0,24.0,117.0,92.0,74.0,71.0,51.0,13.0,52.0,170.0
1822.0,1712.0,1498.0,1095.0,788.0,137.0,404.0,206.0,509.0,609.0,823.0,932.0,492.0,765.0,486.0,460.0,406.0,304.0,356.0,520.0,670.0,283.0,106.0,200.0,95.0,24.0,20.0,13.0,82.0,82.3,392.0,373.0,334.0,6.0,47.0,48.0,42.0,33.0,23.0,31.0,94.0,81.0,59.0,70.0,48.0,14.0,36.0,260.0
1761.0,1666.0,1458.0,1090.0,783.0,146.0,368.0,246.0,471.0,614.0,821.0,917.0,466.0,736.0,492.0,440.0,388.0,293.0,324.0,540.0,650.0,264.0,100.0,190.0,85.0,21.0,17.0,13.0,67.0,75.8,451.0,491.0,320.0,6.0,67.0,64.0,64.0,32.0,36.0,43.0,114.0,98.0,67.0,69.0,64.0,28.0,78.0,210.0
1701.0,1601.0,1396.0,1068.0,790.0,191.0,328.0,257.0,431.0,585.0,790.0,890.0,469.0,676.0,568.0,527.0,485.0,389.0,339.0,560.0,687.0,260.0,105.0,188.0,90.0,24.0,18.0,11.0,76.0,,226.0,383.0,288.0,3.0,62.0,75.0,61.0,45.0,53.0,46.0,101.0,73.0,77.0,76.0,44.0,22.0,55.0,170.0
