Stature,Head breadth,Head depth,Head circumference,Face length
1872.0,184.0,212.0,638.0,132.0
1829.0,172.0,200.0,596.0,124.0
1731.0,152.0,191.0,560.0,119.0
1828.0,154.0,190.0,559.0,132.0
1762.0,152.0,204.0,575.0,123.0
1806.0,159.0,191.0,580.0,135.0
1702.0,153.0,198.0,578.0,113.0
1705.0,148.0,184.0,531.0,116.0
1578.0,142.0,182.0,537.0,112.0
1582.0,145.0,192.0,557.0,114.0
1836.0,160.0,198.0,582.0,137.0
1590.0,157.0,197.0,574.0,125.0
1771.0,164.0,184.0,561.0,127.0
1829.0,156.0,206.0,600.0,118.0
1704.0,168.0,199.0,597.0,127.0
1712.0,155.0,199.0,574.0,120.0
1680.0,159.0,193.0,568.0,109.0
1637.0,146.0,196.0,551.0,114.0
1819.0,151.0,196.0,569.0,132.0
1714.0,143.0,194.0,555.0,123.0
1840.0,156.0,206.0,574.0,114.0
1854.0,160.0,214.0,601.0,137.0
1803.0,152.0,204.0,584.0,122.0
1753.0,154.0,215.0,602.0,124.0
1583.0,145.0,173.0,538.0,114.0
1576.0,154.0,192.0,560.0,121.0
1619.0,143.0,178.0,534.0,113.0
1584.0,142.0,182.0,540.0,114.0
1466.0,141.0,180.0,552.0,106.0
1721.0,163.0,202.0,588.0,125.0
1765.0,146.0,190.0,544.0,123.0
1655.0,150.0,186.0,546.0,110.0
1721.0,150.0,191.0,560.0,123.0
1799.0,151.0,198.0,576.0,117.0
1857.0,158.0,210.0,601.0,125.0
1601.0,154.0,194.0,562.0,107.0
1740.0,145.0,189.0,544.0,112.0
1611.0,137.0,190.0,535.0,114.0
1886.0,165.0,202.0,592.0,123.0
1647.0,151.0,187.0,560.0,118.0
1645.0,141.0,192.0,549.0,109.0
1926.0,160.0,200.0,586.0,118.0
1625.0,151.0,181.0,545.0,123.0
1791.0,167.0,206.0,589.0,120.0
1627.0,142.0,188.0,545.0,113.0
1645.0,143.0,193.0,560.0,117.0
1557.0,144.0,187.0,546.0,109.0
1669.0,151.0,197.0,569.0,111.0
1736.0,155.0,201.0,578.0,118.0
1810.0,153.0,202.0,587.0,127.0
1879.0,155.0,195.0,574.0,125.0
