Stature,Head breadth,Head depth,Head circumference,Face length
1634.0,155.0,177.0,550.0,105.0
1740.0,141.0,192.0,549.0,116.0
1679.0,143.0,184.0,554.0,112.0
1612.0,142.0,175.0,527.0,106.0
1733.0,152.0,196.0,571.0,117.0
1561.0,146.0,183.0,550.0,110.0
1639.0,146.0,182.0,550.0,105.0
1560.0,145.0,186.0,562.0,112.0
1689.0,154.0,201.0,591.0,129.0
1631.0,142.0,182.0,539.0,105.0
1688.0,151.0,182.0,556.0,111.0
1669.0,137.0,185.0,533.0,108.0
1622.0,142.0,187.0,551.0,114.0
1685.0,146.0,177.0,535.0,112.0
1634.0,151.0,193.0,567.0,111.0
1671.0,150.0,193.0,575.0,113.0
1684.0,161.0,196.0,586.0,127.0
1602.0,150.0,183.0,537.0,116.0
1771.0,151.0,192.0,571.0,127.0
1488.0,141.0,181.0,542.0,108.0
1581.0,136.0,175.0,536.0,107.0
1513.0,139.0,177.0,538.0,107.0
1638.0,154.0,182.0,551.0,120.0
1838.0,156.0,194.0,574.0,119.0
1749.0,147.0,196.0,565.0,117.0
1720.0,142.0,181.0,535.0,116.0
1611.0,146.0,192.0,560.0,113.0
1610.0,135.0,182.0,535.0,116.0
1625.0,147.0,188.0,560.0,102.0
1782.0,157.0,203.0,586.0,125.0
1629.0,157.0,187.0,564.0,122.0
1699.0,141.0,197.0,564.0,124.0
1827.0,158.0,197.0,575.0,124.0
1659.0,152.0,195.0,579.0,121.0
1571.0,146.0,190.0,548.0,112.0
1592.0,153.0,185.0,561.0,116.0
1780.0,167.0,201.0,600.0,125.0
1671.0,140.0,186.0,552.0,114.0
1551.0,150.0,182.0,550.0,103.0
1683.0,156.0,195.0,565.0,122.0
1672.0,152.0,193.0,568.0,118.0
1799.0,151.0,197.0,570.0,135.0
1742.0,161.0,195.0,571.0,125.0
1708.0,157.0,192.0,572.0,131.0
1649.0,153.0,194.0,566.0,121.0
1750.0,165.0,191.0,582.0,127.0
1558.0,142.0,184.0,553.0,112.0
1686.0,147.0,190.0,552.0,118.0
1863.0,156.0,201.0,582.0,120.0
1633.0,155.0,194.0,565.0,122.0
1692.0,153.0,198.0,567.0,114.0
1667.0,149.0,187.0,569.0,109.0
1637.0,145.0,179.0,544.0,110.0
1742.0,161.0,211.0,590.0,120.0
1763.0,167.0,211.0,603.0,125.0
1634.0,157.0,191.0,565.0,121.0
1627.0,161.0,188.0,565.0,128.0
