"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2241.0,1885.0,1752.0,737.0,153.0,251.0,486.0,854.0,990.0,800.0,497.0,361.0,384.0,255.0,382.0,534.0,672.0,1134.0,196.0,18.0,108.0,34.0,79.0,87.0,48.0
2183.0,1841.0,1734.0,717.0,132.0,230.0,487.0,829.0,962.0,761.0,432.0,327.0,340.0,211.0,376.0,505.0,618.0,1110.0,188.0,17.0,104.0,29.0,75.0,69.0,50.0
2034.0,1706.0,1598.0,674.0,140.0,216.0,458.0,793.0,891.0,692.0,417.0,348.0,354.0,249.0,325.0,496.0,610.0,1130.0,176.0,12.0,93.0,23.0,69.0,64.0,32.0
2065.0,1775.0,1665.0,698.0,136.0,243.0,455.0,854.0,951.0,764.0,423.0,325.0,334.0,237.0,357.0,474.0,592.0,1058.0,188.0,16.0,108.0,29.0,77.0,68.0,54.0
2008.0,1703.0,1582.0,657.0,157.0,231.0,426.0,797.0,913.0,691.0,480.0,353.0,371.0,288.0,340.0,512.0,604.0,1026.0,181.0,14.0,95.0,25.0,68.0,70.0,36.0
2075.0,1722.0,1606.0,673.0,133.0,246.0,427.0,821.0,921.0,675.0,421.0,343.0,362.0,228.0,344.0,467.0,571.0,993.0,183.0,13.0,95.0,27.0,69.0,61.5,37.0
2107.0,1749.0,1634.0,675.0,119.0,206.0,469.0,764.0,874.0,776.0,377.0,335.0,347.0,250.0,333.0,548.0,650.0,1110.0,189.0,14.0,96.0,28.0,75.0,58.5,30.0
2093.0,1761.0,1650.0,693.0,148.0,225.0,468.0,792.0,907.0,717.0,450.0,369.0,368.0,252.0,349.0,517.0,623.0,1080.0,180.0,12.0,92.0,25.0,70.0,69.0,36.0
2028.0,1721.0,1603.0,656.0,142.0,188.0,468.0,743.0,870.0,713.0,450.0,325.0,342.0,260.0,360.0,510.0,615.0,1055.0,182.0,15.0,86.0,26.0,71.0,60.5,36.0
2170.0,1786.0,1662.0,697.0,136.0,229.0,468.0,826.0,934.0,790.0,451.0,333.0,336.0,211.0,379.0,490.0,628.0,1086.0,202.0,16.0,107.0,28.0,79.0,64.0,58.0
2150.0,1769.0,1649.0,625.0,148.0,157.0,468.0,753.0,883.0,778.0,487.0,325.0,347.0,244.0,380.0,521.0,644.0,1102.0,196.0,14.0,97.0,28.0,74.0,75.0,51.0
2124.0,1741.0,1642.0,656.0,164.0,216.0,440.0,757.0,889.0,742.0,441.0,372.0,393.0,270.0,365.0,550.0,650.0,1095.0,180.0,13.0,90.0,23.0,71.0,79.0,36.0
2130.0,1830.0,1710.0,678.0,133.0,182.0,496.0,788.0,921.0,765.0,466.0,321.0,340.0,242.0,368.0,505.0,636.0,1100.0,188.0,15.0,103.0,30.0,73.0,71.0,58.0
2306.0,1917.0,1792.0,765.0,138.0,247.0,518.0,849.0,974.0,815.0,467.0,360.0,355.0,227.0,394.0,540.0,674.0,1175.0,197.0,15.0,107.0,28.0,74.0,72.0,51.0
2131.0,1856.0,1735.0,710.0,118.0,202.0,508.0,843.0,962.0,763.0,410.0,319.0,325.0,226.0,370.0,502.0,632.0,1106.0,195.0,14.0,102.0,29.0,74.0,60.0,59.0
2229.0,1812.0,1675.0,645.0,129.0,235.0,410.0,812.0,952.0,810.0,429.0,333.0,337.0,190.0,366.0,500.0,624.0,1114.0,192.0,19.0,101.0,28.0,80.0,66.0,62.0
2306.0,1899.0,1750.0,728.0,129.0,213.0,515.0,840.0,956.0,822.0,451.0,367.0,365.0,227.0,363.0,550.0,665.0,1175.0,193.0,18.0,110.0,26.0,75.0,83.9,48.0
2173.0,1852.0,1717.0,776.0,140.0,276.0,500.0,841.0,955.0,793.0,397.0,301.0,312.0,208.0,363.0,520.0,623.0,1130.0,196.0,15.0,106.0,29.0,81.0,71.2,51.0
2163.0,1799.0,1683.0,766.0,128.0,286.0,480.0,828.0,934.0,760.0,428.0,306.0,346.0,251.0,367.0,470.0,590.0,1084.0,182.0,16.0,106.0,26.0,68.0,68.6,48.0
2348.0,1933.0,1796.0,768.0,130.0,228.0,540.0,867.0,974.0,849.0,437.0,344.0,359.0,214.0,395.0,535.0,655.0,1158.0,202.0,18.0,111.0,30.0,82.0,75.2,58.0
1986.0,1645.0,1529.0,666.0,117.0,226.0,440.0,758.0,874.0,723.0,356.0,314.0,329.0,195.0,329.0,450.0,561.0,983.0,180.0,14.0,90.0,25.0,71.0,53.1,34.0
